Features	Class
"[-1.9440689e+02  8.2296623e+01 -1.1897209e+02  2.3865496e+01
 -4.5962093e+01 -1.7290341e+00 -2.3479710e+01 -6.0934229e+00
 -1.2255912e+01  1.5304959e+01  1.7524460e+01  1.0390986e+01
  1.0685271e+00 -2.9850290e+01 -3.8817806e+00 -1.8574345e+01
  7.7230878e+00 -1.3464491e+01 -9.0366640e+00  3.3586121e+00
  2.4514322e+00  1.4948102e+01 -1.9579311e+01 -2.1133348e-01
 -5.2474718e+00 -7.7115955e+00 -5.6667542e+00 -5.7614903e+00
 -8.9192575e-01 -1.1732678e+01  8.4553316e-02  1.5601234e+00
 -2.7817788e+00 -3.8545933e+00  2.3710714e-01 -8.3669777e+00
 -1.7872816e+00 -7.4872988e-01 -5.9455657e+00  1.8749092e+00]"	cat
"[-2.8353671e+02  1.6270239e+02 -3.1656094e+01 -3.9140327e+01
 -1.7361200e+01 -1.4527575e+01 -7.8267312e+00 -1.2535021e+01
 -1.3434035e+01 -8.1851168e+00  3.8304260e+00  5.2581739e+00
 -2.3549343e+01 -8.0559654e+00  2.0674189e+01 -1.4860896e+01
 -2.0492392e+01 -7.8714478e-01 -1.3858576e+01 -2.8060653e+00
  1.8388288e+01  1.1791465e+01  1.5595395e+01  2.6234098e+01
  1.8660873e+01  8.0057306e+00 -1.1461353e+00  1.6208875e+00
  2.8161557e+00 -3.8573472e+00  6.6633922e-01 -5.1141939e+00
 -9.9671412e+00 -1.1362855e+00 -4.5167631e-01 -1.0062912e+00
  9.7318661e-01 -4.5057173e+00 -4.2853947e+00  1.2494823e-01]"	dog
"[-261.19116     132.84447     -54.429585    -10.398279    -26.551168
    8.837868     -2.41633      12.825803     16.896486      4.548002
   10.5301485     9.062361      1.7334073   -13.7229595     0.58608335
   -2.9625835    -3.3141077    -0.3340013     0.6783506     4.3014007
   -2.759621     -0.49756908    1.0921406    -1.0929031    -4.880614
    2.383375      0.9135935     0.8999945     5.848184     -0.8260093
   -1.3034712     1.9267963     4.7292237     3.5273278     4.19996
    0.6346246    -0.7539462     1.3601106     1.231326      2.1818447 ]"	dog
"[-2.36982025e+02  1.46680695e+02 -9.93327942e+01 -4.66034949e-01
 -2.11040268e+01 -2.73785896e+01 -2.41931763e+01 -1.59223022e+01
 -1.95625896e+01 -8.69552231e+00 -1.03478050e+01 -7.11828661e+00
  9.55797863e+00 -9.97318649e+00  3.59940267e+00 -1.24819422e+01
 -1.24443665e+01 -4.59275579e+00 -1.16619625e+01  3.74542928e+00
 -1.27632561e+01 -8.01316643e+00 -2.69539475e+00 -3.87642217e+00
  3.03992152e+00 -5.43446827e+00 -2.45244217e+00 -2.43435264e+00
 -6.47777128e+00 -9.96202588e-01 -1.03067911e+00 -6.13401842e+00
  1.10781640e-01  1.67287484e-01  6.54603243e-02  2.27972537e-01
 -4.10276222e+00  1.68460476e+00 -4.59906530e+00 -4.37373686e+00]"	cat
"[-2.0867754e+02  1.3076260e+02 -7.1755730e+01  5.5722385e+01
 -5.5200253e+01  2.6941813e+01 -3.4304268e+01  1.7749899e+01
 -1.8717072e+01 -1.8465294e+01 -1.8349469e+00 -2.1899933e+01
  1.0107944e+01 -1.4235515e+01  7.9404054e+00 -1.7620226e+01
  8.8288319e-01 -6.0449829e+00 -7.7568851e+00 -5.6897151e-01
 -7.3286695e+00  4.7482681e+00 -1.0974616e+01  4.2548275e+00
 -4.9741340e+00  1.4919317e+00 -1.6148225e+00 -2.7256792e+00
 -6.3381171e-01 -4.1729245e+00  2.5303566e+00 -3.9601882e+00
  2.4486358e+00 -3.6327715e+00  7.8669041e-01  1.8042088e-01
  1.5274906e+00  7.0295048e-01  1.8102133e-01  2.2559619e+00]"	cat
"[-2.83805359e+02  1.14729454e+02 -5.18031921e+01  7.56158066e+00
 -3.51324463e+01  4.71308374e+00 -1.81068935e+01 -1.40155792e+01
 -1.89498723e+00 -1.02622280e+01 -2.74817228e+00 -1.60234776e+01
 -4.23989820e+00 -1.35680475e+01 -6.29799080e+00 -3.30683231e+00
 -3.01644158e+00  3.64232612e+00  9.91916597e-01  1.10834322e+01
  4.29272383e-01 -6.25581360e+00 -9.33996487e+00 -5.08097553e+00
  1.66821361e-01 -2.59547997e+00 -3.75506377e+00 -7.29690886e+00
  6.23879194e-01 -7.75760531e-01 -4.37953281e+00 -6.29144907e+00
 -5.95627069e+00 -9.09883857e-01  1.87935805e+00  6.41243362e+00
  6.53980827e+00  8.62533951e+00  4.51454210e+00 -3.51549745e-01]"	cat
"[-3.8464874e+02  6.5916245e+01  1.3399347e+01  1.8877005e+01
  1.1844603e+01  1.0230819e+01  1.0778123e+01  8.8089924e+00
  5.1519756e+00  1.0261474e+00  4.4089732e+00  2.7926359e+00
  9.4234937e-01  4.5156205e-01  2.2695555e-01  3.9038472e+00
  6.0546660e+00  5.7107239e+00  2.5171146e+00 -1.9418426e+00
 -3.0254741e+00 -5.8785986e-02  2.1314332e+00  1.3575140e+00
 -1.2943177e+00 -3.1043646e+00 -1.8343359e+00 -1.0351934e+00
 -1.1994534e+00 -1.2214205e+00 -3.4549925e-01  6.1993384e-01
 -2.8766400e-01 -4.5305625e-01 -6.8658090e-01 -1.3725846e+00
 -1.7882607e+00 -3.6225314e+00 -3.6133173e+00 -1.9019548e+00]"	cat
"[-3.20897430e+02  1.65859589e+02 -4.02139168e+01 -3.72040215e+01
 -2.02799416e+01 -1.25201025e+01 -4.42605114e+00 -1.16895943e+01
 -1.55850525e+01 -2.54109263e+00  9.27303028e+00  4.02456427e+00
 -2.31254559e+01 -4.36648846e+00  2.74735756e+01 -1.80474625e+01
 -2.21669159e+01 -6.96036965e-02 -1.81243210e+01 -6.82998419e+00
  9.08189774e+00  2.32423401e+00  4.98338079e+00  1.85188160e+01
  1.21959620e+01  9.52502847e-01  1.25183809e+00  7.88256264e+00
  1.05427885e+01  5.22065210e+00  1.01071415e+01  2.04316306e+00
 -1.52710998e+00  5.34536982e+00 -3.78164575e-02  4.28890419e+00
  3.63343167e+00 -2.83589602e+00 -3.02171797e-01  5.34433007e-01]"	dog
"[-2.7909875e+02  1.0867490e+02 -6.7186255e+00  1.7246559e+01
 -3.8530955e+00  1.0528975e+01 -3.8588061e+00 -8.5667856e-02
  9.1688251e+00 -5.1813049e+00 -2.1265459e+00  1.3221970e+00
  9.9057102e+00  1.6621143e+01  1.8385309e+01  6.3098779e+00
 -1.1307304e+00 -4.4453716e+00 -4.0970632e-01  5.5447674e+00
 -2.1090851e+00 -9.2078261e-02  8.0640090e-01  6.1162882e+00
  8.3118830e+00  4.2394409e+00  6.9980388e+00  1.0287620e+01
  9.9329424e+00  1.3321151e+00  1.4861245e+00  2.5730412e+00
  2.4248002e+00  1.9843782e+00 -2.1113482e+00  6.8650728e-01
  7.8236920e-01  3.8167965e+00  5.5322981e+00  7.6935756e-01]"	cat
"[-3.3590179e+02  1.2220017e+02 -1.3992384e+01  2.7232548e+01
 -2.6681910e+01  1.6911221e+01  3.5302017e+00 -9.5234990e-01
  1.2332946e+01  5.1024694e+00  7.1507850e+00  3.4946907e-02
  1.5234088e+01 -2.4904892e-01 -4.4465985e+00 -2.6867726e+00
 -4.4345593e+00  3.4706860e+00 -8.3979452e-01 -1.9997388e-01
 -1.9172871e+00  2.6656215e+00  2.4867415e+00  1.3350943e+00
  1.4027878e+00 -3.1801105e-01  1.7286795e+00 -1.0651348e+00
  1.1887139e+00  1.9566511e+00  5.1865977e-01  1.0421364e+00
  9.1714293e-01 -8.9583248e-02  5.9519947e-01  3.0102062e-03
 -7.8099340e-01  1.1465552e+00  1.3048881e-01  9.0546316e-01]"	dog
